Ace|Aqua,Green|Active,Cute
Admiral|Black,Blue|Cool
Agent S|Blue,Black|Active,Simple
Agnes|Pink,White|Elegant,Simple
Al|Red,White|Active
Alfonso|Blue,Red|Simple
Alice|Pink,Red|Cute
Alli|Brown,Yellow|Elegant,Gorgeous
Amelia|Black,White|Cool,Elegant
Anabelle|Blue,Green|Cute,Simple
Anchovy|Colorful,Orange|Simple
Angus|Black,Red|Cool
Anicotti|Pink,Red|Elegant,Simple
Ankha|Brown,Colorful|Gorgeous,Simple
Annalisa|Pink,Red|Elegant,Gorgeous
Annalise|Blue,Purple|Active,Elegant
Antonio|Blue,Aqua|Simple
Apollo|Black|Cool,Simple
Apple|Colorful,Red|Cute,Simple
Astrid|Black,Colorful|Active,Cool
Audie|Green,White|Active,Cute
Aurora|Pink,Red|Cute,Elegant
Ava|Gray,Red|Cute,Elegant
Avery|Brown,Orange|Gorgeous,Simple
Axel|Green,White|Active,Simple
Azalea|Purple,Pink|Elegant,Gorgeous
Baabara|Blue,Purple|Elegant,Gorgeous
Bam|Brown,Green|Active,Simple
Bangle|Green,Yellow|Cute,Gorgeous
Barold|Black,Yellow|Cool,Simple
Bea|Aqua,Green|Cool,Simple
Beardo|Blue,Brown|Elegant
Beau|Beige,Orange|Cute,SImple
Becky|Pink,Purple|Elegant,Gorgeous
Bella|Black,Purple|Active,Cool
Benedict|Blue,Purple|Simple
Benjamin|Red,White|Simple
Bertha|Pink,White|Cute,Elegant
Bettina|Red,White|Elegant,Simple
Bianca|Orange,Pink|Cute
Biff|Black,Blue|Active,Gorgeous
BigTop|Green|Active,Simple
Bill|Blue,Purple|Active
Billy|Blue,Purple|Active,Simple
Biskit|Colorful,Purple|Gorgeous,Simple
Bitty|Orange,Pink|Cute,Elegant
Blaire|Brown,Orange|Elegant,Gorgeous
Blanche|Black,Brown|Elegant,Gorgeous
Bluebear|Blue,White|Cute,Simple
Bob|Colorful,Red|Cute,Simple
Bonbon|Aqua,Yellow|Cute,Elegant
Bones|Beige,Brown|Cute,Simple
Boomer|Beige,Brown|Cool,Simple
Boone|Colorful,Red|Cool,Elegant
Boots|Colorful,Purple|Active,Gorgeous
Boris|Black,Purple|Cool,Gorgeous
Boyd|Black,Red|Cool,Simple
Bree|Black,Blue|Elegant,Gorgeous
Broccolo|Colorful,Yellow|Cute,Simple
Broffina|Black,Red|Elegant,Gorgeous
Bruce|Black,Red|Cool,Simple
Bubbles|Pink,Purple|Active,Cute
Buck|Brown,Gray|Active,Simple
Bud|Green,Yellow|Active,Simple
Bunnie|Green,Pink|Cute
Butch|Blue,Gray|Cool,Simple
Buzz|Red,Yellow|Active,Simple
Cally|Green,Red|Cute,Elegant
Camofrog|Blue,White|Active,Cool
Canberra|Green,Aqua|Active,Cool
Candi|Aqua,Yellow|Cute,Simple
Carmen|Beige,Green|Cute,Elegant
Caroline|Colorful,White|Cute,Gorgeous
Carrie|Colorful,Red|Cute
Cashmere|Beige,Purple|Elegant,Gorgeous
Cephalobot|Black,White|Simple,Active
Celia|Green,Pink|Cute,Elegant
Cesar|Blue,Aqua|Cool,Elegant
Chabwick|Yellow,Gray|Cute,Active
Chadder|Black,Gray|Elegant,Gorgeous
Chai|Blue,Aqua|Cute,Elegant
Charlise|Orange,Red|Active,Cute
Chelsea|Pink,White|Cute,Gorgeous
Cheri|Aqua,Yellow|Cute,Simple
Cherry|Black,Purple|Cool,Elegant
Chester|Green,Yellow|Simple
Chevre|Pink,Red|Cute,Elegant
Chief|Gray,White|Cool,Simple
Chops|Green,Red|Elegant,Gorgeous
Chow|Black,White|Cool,Gorgeous
Chrissy|Pink,White|Cute
Claude|Black,Colorful|Simple
Claudia|Purple,White|Elegant,Gorgeous
Clay|Beige,Brown|Elegant,Simple
Cleo|Aqua,White|Cute,Elegant
Clyde|Green,White|Cute,Simple
Coach|Blue,Red|Active
Cobb|Blue,White|Active,Simple
Coco|Beige,Green|Cute,Simple
Cole|Colorful,Simple|Cute,Simple
Colton|Blue,Red|Elegant,Gorgeous
Cookie|Green,Aqua|Cute
Cousteau|Green,Red|Elegant,Gorgeous
Cranston|Beige,Brown|Cool,Simple
Croque|Orange,Red|Cool,Elegant
Cube|Colorful,Yellow|Cute,Simple
Curlos|Green,Red|Active,Gorgeous
Curly|Colorful,Yellow|Active,Simple
Curt|Blue,White|Cool
Cyd|Black,Yellow|Active,Cool
Cyrano|Beige,Yellow|Active,Cool
Daisy|Blue,Colorful|Cute,Simple
Deena|Blue,Colorful|Cute,Simple
Deirdre|Orange|Simple
Del|Blue,White|Cool,Simple
Deli|Brown,Purple|Elegant,Gorgeous
Derwin|Beige,Yellow|Elegant,Simple
Diana|Pink,Purple|Elegant,Gorgeous
Diva|Aqua,Purple|Elegant,Gorgeous
Dizzy|Blue,Yellow|Simple
Dobie|Beige,Brown|Cool,Simple
Doc|Beige,Gray|Elegant,Simple
Dom|Colorful,Red|Active,Cute
Dora|Blue,Aqua|Elegant,Simple
